epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8185,0.56643,3.02941,1.13399,0.48666,0.13492,0.21952,0.1988,0.44779,2.36118,0.9799,0.000299165,0.000299165,0.000299165
2,30.2517,0.50532,2.30511,1.0573,0.63568,0.30866,0.30393,0.26725,0.55656,1.89371,1.16681,0.000600177,0.000600177,0.000600177
3,40.9791,0.50996,2.0455,1.05375,0.41265,0.66349,0.48472,0.44743,0.40738,2.74231,0.86902,0.00089919,0.00089919,0.00089919
4,51.9311,0.52348,1.85917,1.06477,0.4365,0.54857,0.53132,0.48218,0.48241,1.67789,0.93862,0.000900001,0.000900001,0.000900001
5,62.8963,0.50464,1.72637,1.03336,0.52067,0.71096,0.64145,0.6114,0.40639,1.16213,0.92043,0.000897001,0.000897001,0.000897001
6,73.7362,0.46978,1.62708,1.03399,0.76607,0.5759,0.68964,0.63171,0.42839,1.15299,0.92076,0.000894001,0.000894001,0.000894001
7,85.0866,0.4857,1.57221,1.02796,0.39558,0.837,0.68474,0.64416,0.36773,1.10434,0.82239,0.000891002,0.000891002,0.000891002
8,96.3325,0.46083,1.48152,1.01503,0.74144,0.66479,0.72862,0.67032,0.35191,0.96828,0.86021,0.000888002,0.000888002,0.000888002
9,107.553,0.47323,1.44816,1.02757,0.7723,0.70434,0.77494,0.72955,0.36794,1.00839,0.87856,0.000885002,0.000885002,0.000885002
10,118.658,0.44438,1.35694,1.00356,0.65191,0.74762,0.74798,0.70612,0.32161,0.95468,0.78938,0.000882003,0.000882003,0.000882003
11,129.594,0.43982,1.28768,1.00566,0.70754,0.75542,0.71358,0.68405,0.33557,1.07971,0.78845,0.000879003,0.000879003,0.000879003
12,140.952,0.43671,1.2743,1.00377,0.58789,0.88896,0.84157,0.81522,0.31156,0.84755,0.75122,0.000876003,0.000876003,0.000876003
13,152.276,0.42506,1.28113,0.99937,0.76047,0.71924,0.74513,0.71423,0.32329,0.99757,0.76745,0.000873004,0.000873004,0.000873004
